"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","13,300","13,550","13,800","13,300","10.15M","-1.85%"
"27/06/2024","13,550","13,450","13,650","13,150","8.55M","1.88%"
"26/06/2024","13,300","13,450","13,550","13,300","6.04M","-0.75%"
"25/06/2024","13,400","13,300","13,500","13,250","7.17M","0.75%"
"24/06/2024","13,300","13,400","13,650","13,200","12.06M","-0.75%"
"21/06/2024","13,400","13,650","13,850","13,400","11.80M","-1.47%"
"20/06/2024","13,600","13,800","13,900","13,450","13.62M","-2.16%"
"19/06/2024","13,900","14,100","14,100","13,800","9.81M","-1.07%"
"18/06/2024","14,050","14,200","14,250","14,050","5.66M","-0.35%"
"17/06/2024","14,100","14,150","14,200","14,000","8.63M","-0.35%"
"14/06/2024","14,150","14,350","14,450","14,150","12.86M","-1.39%"
"13/06/2024","14,350","14,450","14,550","14,350","7.53M","0.00%"
"12/06/2024","14,350","14,200","14,400","14,150","9.45M","1.06%"
"11/06/2024","14,200","14,750","14,750","14,200","22.98M","-3.40%"
"10/06/2024","14,700","14,850","14,850","14,650","9.67M","-0.34%"
"07/06/2024","14,750","14,750","14,900","14,700","12.55M","0.34%"
"06/06/2024","14,700","14,800","14,850","14,600","11.28M","0.00%"
"05/06/2024","14,700","14,900","15,000","14,700","13.81M","-0.68%"
"04/06/2024","14,800","15,050","15,050","14,750","9.02M","-1.00%"
"03/06/2024","14,950","14,650","15,150","14,650","27.79M","3.46%"
"31/05/2024","14,450","14,200","14,600","14,150","11.44M","2.12%"
"30/05/2024","14,150","14,100","14,200","14,050","13.13M","0.00%"
"29/05/2024","14,150","14,550","14,550","14,150","15.86M","-2.41%"
"28/05/2024","14,500","14,500","14,600","14,350","11.43M","0.00%"
"27/05/2024","14,500","14,600","14,600","14,300","7.87M","0.35%"
"24/05/2024","14,450","14,500","14,950","14,200","33.03M","0.35%"
"23/05/2024","14,400","14,450","14,600","14,200","9.92M","-0.35%"
"22/05/2024","14,450","14,300","14,650","14,250","22.79M","1.05%"
"21/05/2024","14,300","14,300","14,300","14,000","17.44M","0.00%"
"20/05/2024","14,300","14,450","14,600","14,250","15.01M","0.00%"
"17/05/2024","14,300","14,200","14,400","14,100","16.22M","0.35%"
"16/05/2024","14,250","14,350","14,450","14,150","15.33M","0.35%"
"15/05/2024","14,200","13,700","14,400","13,700","28.34M","2.90%"
"14/05/2024","13,800","13,800","13,900","13,650","9.82M","0.36%"
"13/05/2024","13,750","13,650","13,750","13,550","13.12M","1.48%"
"10/05/2024","13,550","13,900","13,900","13,450","20.97M","-1.45%"
"09/05/2024","13,750","13,950","14,150","13,700","24.73M","1.10%"
"08/05/2024","13,600","13,600","14,000","13,600","70.29M","-6.85%"
"07/05/2024","14,600","14,850","14,850","14,450","28.67M","-2.01%"
"06/05/2024","14,900","14,750","15,000","14,600","17.99M","2.05%"
"03/05/2024","14,600","15,000","15,050","14,550","18.73M","-2.34%"
"02/05/2024","14,950","15,000","15,050","14,700","15.41M","-1.97%"
"26/04/2024","15,250","14,950","15,600","14,950","18.37M","0.33%"
"25/04/2024","15,200","15,200","15,200","14,950","11.02M","0.00%"
"24/04/2024","15,200","14,700","15,400","14,600","26.74M","4.83%"
"23/04/2024","14,500","14,900","14,950","14,400","15.52M","-2.68%"
"22/04/2024","14,900","14,800","15,050","14,650","23.52M","3.11%"
"19/04/2024","14,450","14,800","14,950","14,200","38.51M","-3.99%"
"17/04/2024","15,050","15,900","16,100","15,050","30.71M","-4.44%"
"16/04/2024","15,750","16,200","16,350","15,500","48.74M","-4.55%"
"15/04/2024","16,500","17,600","17,700","16,500","71.60M","-6.78%"
"12/04/2024","17,700","17,800","17,950","17,700","29.04M","-0.28%"
"11/04/2024","17,750","17,500","17,800","17,400","32.73M","0.00%"
"10/04/2024","17,750","18,200","18,350","17,750","38.90M","-1.93%"
"09/04/2024","18,100","18,200","18,250","17,800","38.22M","0.00%"
"08/04/2024","18,100","18,500","18,950","18,100","49.68M","-1.09%"
"05/04/2024","18,300","17,450","18,700","17,200","107.99M","4.57%"
"04/04/2024","17,500","17,600","17,900","17,400","47.24M","1.74%"
"03/04/2024","17,200","17,550","17,700","17,200","25.74M","-1.15%"
"02/04/2024","17,400","17,400","17,400","17,050","23.95M","-0.29%"
"01/04/2024","17,450","17,450","17,750","17,300","37.56M","1.16%"
"29/03/2024","17,250","17,750","17,750","17,200","47.11M","-2.27%"
"28/03/2024","17,650","18,300","18,300","17,550","45.12M","-2.49%"
"27/03/2024","18,100","18,000","18,100","17,600","43.78M","1.40%"
"26/03/2024","17,850","17,800","18,050","17,600","49.15M","0.85%"
"25/03/2024","17,700","17,200","18,200","17,150","110.48M","3.51%"
"22/03/2024","17,100","17,350","17,450","16,950","29.12M","0.00%"
"21/03/2024","17,100","16,800","17,100","16,600","42.48M","3.32%"
"20/03/2024","16,550","16,500","16,650","16,350","12.08M","0.30%"
"19/03/2024","16,500","16,900","16,900","16,500","9.76M","-1.20%"
"18/03/2024","16,700","16,500","17,100","16,150","36.47M","1.21%"
"15/03/2024","16,500","16,450","16,800","16,400","19.13M","0.30%"
"14/03/2024","16,450","16,650","16,750","16,350","16.14M","-0.60%"
